"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"R4";"1k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"";"";"";"";"";"";"";"RES-12182";"";"";"";"";"";"1k";
"R5";"1k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"";"";"";"";"";"";"";"RES-12182";"";"";"";"";"";"1k";
"R6";"1k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"";"";"";"";"";"";"";"RES-12182";"";"";"";"";"";"1k";
"R7";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R8";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R9";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R10";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R11";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R12";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R13";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R14";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R15";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R16";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R17";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"R18";"330";"330OHM-HORIZ-1/10W-5%";"AXIAL-0.3";"330O resistor";"";"";"";"";"";"";"";"RES-8371";"";"";"";"";"";"330";
"U$1";"HEADER4BIRAIL";"HEADER4BIRAIL";"HEADER4BIRAIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"HEADER4BIRAIL";"HEADER4BIRAIL";"HEADER4BIRAIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"HEADER4STRAIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"HEADER2";"HEADER2";"HEADER2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"HEADER2";"HEADER2";"HEADER2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
